"country","birthRate","pop2022"
"Switzerland","10.5000","8773.6370"
"Liechtenstein","10.4000","38.3870"
"Canada","10.2000","38388.4190"
"Ukraine","10.1000","43192.1220"
"Malta","10","444.0330"
"Belarus","10","9432.8000"
"Estonia","9.9000","1321.9100"
"Lithuania","9.8000","2661.7080"
"United Arab Emirates","9.8000","10081.7850"
"Latvia","9.6000","1848.8370"
"Slovakia","9.6000","5460.1930"
"Qatar","9.5000","2979.9150"
"Austria","9.5000","9066.7100"
"Poland","9.3000","37739.7850"
"Slovenia","9.2000","2078.0340"
"Czech Republic","9.2000","10736.7840"
"Spain","9","46719.1420"
"Serbia","8.9000","8653.0160"
"Hungary","8.9000","9606.2590"
"Croatia","8.8000","4059.2860"
"Hong Kong","8.8000","7604.2990"
"Bosnia and Herzegovina","8.7000","3249.3170"
"Singapore","8.7000","5943.5460"
"Romania","8.7000","19031.3350"
"San Marino","8.6000","34.0850"
"Germany","8.6000","83883.5960"
"Bulgaria","8.5000","6844.5970"
"Italy","8.5000","60262.7700"
"Macau","8.4000","667.4900"
"Greece","8.3000","10316.6370"
"South Korea","8.3000","51329.8990"
"Portugal","8.2000","10140.5700"
"Taiwan","8.2000","23888.5950"
"Japan","8","125584.8380"
"Andorra","7.3000","77.4630"
"Monaco","6.5000","39.7830"
